"address","earnings","reasons"
"0x1ac1f5aa71855e6edc67ac02c851c8388df38274","12000","dao"
"0x1b2ad7794ce84499423dd2e2bb48967fa2ae97be","12000","dao"
"0x1b2dc44edeb1a600bb0713a64e529cd8bc57bf04","12000","dao"
"0x1b39ae80828be459440cec9260d3bf5725d06cf5","12000","dao"
"0x1b5051214bce31dfd34ebe38fa97f77cdc9903d0","12000","dao"
"0x1b52326288f061794219f7095d5d637cc0950073","12000","dao"
"0x1b9fc028057b39eee8116926517ef62b34813dc7","12000","dao"
"0x1bc8dcd855d25181e204eaaef0dd996a92d9d27e","12000","dao"
"0x1c05decb151a459e8b045a93f472d1b238204094","36000","dao"
"0x1c68eb4bbeb66427e8e32f31b4231f1b675dd130","12000","dao"
"0x1d45c1a54243227a3ceebaaf473663d4218cf9b1","12000","dao"
"0x1df9b5a2ad6b5b4611de9cb8a069ff1d200bb828","12000","dao"
"0x1ebc5b0dcae3b1bb19938cc3ba706e644a8adeef","12000","dao"
"0x1f2dbe460871342486670471b196cd21d7f73118","12000","dao"
"0x1f89bbaf7c1d76d98e960398d0df6b9f0057115d","12000","dao"
"0x2011c83e8f75c0ceb90ec140d8e8adfc836e3685","24000","dao"
"0x205690da4d6feb9a70700195f969d93f39f722d4","12000","dao"
"0x206fe568286445dc6fbfa89315b1b2c81b781d8f","12000","dao"
"0x20a1fef56e50d891475d964ef0f1bb604c355555","12000","dao"
"0x20a8d1c5a90c09378d439bcdd594e175dfdcd3e2","12000","dao"
"0x20eaba9ba56fc674f9c0c42c00c734e28ad8bd31","12000","dao"
"0x213d29fb6184f0a5982d0fd3499b9a9cc4ddf12b","12000","dao"
"0x2143cba133ecb25312a035f110622e78069328d1","12000","dao"
"0x2169b5deed138e7828cf69d3d8e4fd54c469cdfb","12000","dao"
"0x21dc41db3b41eb3755038f986a4125c70040c39e","12000","dao"
"0x222e3cb8d92bc316e9dc8b45eb218702bf94f9c1","24000","dao"
"0x227e8b748bf446c36124a79fb14864844d19c899","12000","dao"
"0x232ad0b606a11639dd9ea4f79ca041c8c366b680","12000","dao"
"0x2360d331a8d59ac079bcb516de782d3906a7e950","12000","dao"
"0x2381de6657574602238c8ad21851f54b6a0fbeaf","12000","dao"
"0x23a8c353aad9f697594dfb0b39b144a7a4089c99","12000","dao"
"0x23bfee8e7ce1cfa06a1c3b2a86f287bb72a4da91","24000","dao"
"0x2418cb62eb2573543b25dee4c9e436ce7285c5d2","12000","dao"
"0x24777ca8e50c9cec03b89aa65eacdac5279db7a8","24000","dao"
"0x25011805fad9e653d2de6d5c2da1276c9482f3ab","12000","dao"
"0x2532de44cc5789504ff9ff9ed395eb1e8f8d9b9d","12000","dao"
"0x2594bcad3314cac904a79d2a607276910f2b3893","12000","dao"
"0x267afd1e348d8ec7dd1ca8f67d2cebaa307735d9","12000","dao"
"0x2686ab779d38619512ced88112b3fc43305356a6","12000","dao"
"0x269456d15827ed91f802cf795fa4cca16290ea60","12000","dao"
"0x26a04ff0ad83cf4f96ccdd3c094a871c6c7bff1e","24000","dao"
"0x26f1965600078ed3116cff02ed774b7b0b176714","12000","dao"
"0x274a8a4e3778cb51229756933c7164caebabc68b","12000","dao"
"0x27f6a60d6ab6a2bf84995b0afe73e2c488efe2ed","12000","dao"
"0x2903c6fc359a333ac5cf5de5f93f78969a8bd13c","12000","dao"
"0x29380ecb5b10088b4b68ce8df9c189d197ad72bf","12000","dao"
"0x2951b1f7058bd2c05f01954002c450bac0873847","24000","dao"
"0x2a06913d5b8748b222e1236768c24ca19198b374","12000","dao"
"0x2a0bb8414adfb1f6dd4d76279306d4e0051a8498","12000","dao"
"0x2a6b7d01ed691c6e17719f486e7b48b189913f0e","12000","dao"
"0x2af68ab96008f69ee704d41e7457527c7446c1aa","12000","dao"
"0x2b22c632ba4c4499626307dbf581d3efe9de57fb","12000","dao"
"0x2bc12061c8912505978472c21d4a23db43af62aa","36000","dao"
"0x2be6cbabee4c83307eb9022de7dac1911080ef2e","12000","dao"
"0x2c11ae904565fa3f47ac785860f5ec8c0368258c","36000","dao"
"0x2c9139d5ec9206bd779a71ecdb927c8cd42e9639","12000","dao"
"0x2d4ed82fa4862e5a94f3e0ecaf67cd04b44a4326","12000","dao"
"0x2d69dcc9c19123b3029f563dd5c3661f7440fc6e","12000","dao"
"0x2d8d1c6f4fb232ae9be246a9cdeb807a6519edb3","24000","dao"
"0x2dbb586a3bf1bd34051c106108a6c2871f4d9ba8","12000","dao"
"0x2df292af809fd693d94c7d17e36be352e15bb98a","24000","dao"
"0x2e247b81ed889b7fef920b8c5f021e6b2e9b465c","12000","dao"
"0x2ec19e982172ead28b312a07faf25105fb3747d8","12000","dao"
"0x2edfca70ec20e946319c62013d3b5a9922006b04","12000","dao"
"0x2ef2284a784c1fa06f95919fab978e87da18bc66","24000","dao"
"0x2f0f8aea5ebed4e667cb38810fbde5275c39051a","12000","dao"
"0x2f5ec671bbe8844fb3372a96a0706d43b0120dd0","12000","dao"
"0x2f6b8b5f381d50e8ab3e43973c053eb0234eac4e","12000","dao"
"0x2fbccc7b3c8fb9579ab9a316e23635e90b82724d","12000","dao"
"0x3033f7011873f1d9d644a35f97c6b12b7bb3f78b","12000","dao"
"0x307fa4d240b49177f52905cad88567aa5bc85b91","12000","dao"
"0x30f07beadf404031689c9c1016bb9810ffde0755","12000","dao"
"0x3188973471200df1da427c20d8f1ebd48ac70b3c","12000","dao"
"0x3194eeb08fe9095886bd056c6bb7a6499ce3db68","12000","dao"
"0x3225242e8d2ef2ee03f59beeabcb4325f927c43b","12000","dao"
"0x32573ec9734a1054cd0e35f0e28314e688089138","12000","dao"
"0x32dbece86c235f14fefb606e3dc2543bc31c2fd0","12000","dao"
"0x33502dcb1be49dfc0a4f0f52d6ed7a86a28973a6","12000","dao"
"0x33e8ac8209e69d45ebac03034ec349f8d2ff6284","12000","dao"
"0x3479bf87c62d26b54943fadf3deb9826050f1de6","12000","dao"
"0x348d49a315c6ce81cbece0b344de61631c878c09","12000","dao"
"0x34ce401afb4298a999662fe4cd54fad48b26428c","12000","dao"
"0x35109c3ba09d78cf39ac6904f5aba38ba22c4c50","12000","dao"
"0x354af718783c01a2592b1d479575a8fa14521cd9","24000","dao"
"0x3562b3644df90145941e2932b8cc81451bbcb99c","12000","dao"
"0x35f8174a828f5a7ece34594ae3a8e2edf2cb23c0","12000","dao"
"0x360fa2900cb094688f5f9c0ce875df56cb8b0639","12000","dao"
"0x3651e1d02836774225dc229fa82fdfc40be91fc0","12000","dao"
"0x36a5639479f44f6540623046be1b8bdd04b42cc3","24000","dao"
"0x371ea1e8fcb52083a2a6ee8bb44bb5540939fb82","12000","dao"
"0x374145e395da57afab9e50a274c8c01df6328a68","12000","dao"
"0x3744da57184575064838bbc87a0fc791f5e39ea2","12000","dao"
"0x37475a46e8fb88298d9576eea629c6a26cb4882c","12000","dao"
"0x37749325c5f4847151c5f864ca8b377763a3a343","24000","dao"
"0x37d22b342a0228e77e9753da1b12b5c8d60798bc","12000","dao"
"0x37d87b0426e9d27338bbaef6b0535861d9425ec8","12000","dao"
"0x37dc4b0504ed2a93426140ed1fc8cfa51c1589d0","12000","dao"
"0x382ed43cd91156b459e868a92c979c903e40d5f7","12000","dao"
"0x38e694131779b7cf066b1771715c0b112db79f9f","24000","operator,dao"
"0x39084c7e6477dc2294e747a0b6f8c07958ae557f","12000","dao"
"0x392214b7643bfd9aaf8c0475289f77847401ed90","24000","dao"
"0x39223685dcdab03679898b6fa2a59b3c9b0b7336","12000","dao"
"0x3971575cc5ddbc6f43d316006dddf3dcf1d2d505","12000","dao"
"0x39978cc40e2d1d7e127050bdfffbb0dfcfaebad0","24000","dao"
"0x39bf200a7613fbc1b7e19d0ef29e83b969df872e","12000","dao"
"0x39f69938a566cb716a4fcaab2dc3d100a80fcd92","12000","dao"
"0x3a97bcc74559677f607990831b7701aa4ec2f95c","12000","dao"
"0x3ae5f59d8813315e17eb3f2bec21c0e935cf0808","12000","dao"
"0x3af15cb9c100d67e0289190743bbf2408d63ca3e","12000","dao"
"0x3b0d1267952d7b96d3b68193901938843b36ddb8","12000","dao"
"0x3b5013dab6879ae5442a2dfe75341fd52cdaab04","12000","dao"
"0x3b504cb0dd4731371d346467823f686d453877f6","12000","dao"
"0x3b8e66e56044096dfe02f83495cc8e939b059330","12000","dao"
"0x3c63a8c5a57cdb82d1f51bdc2a2246e661bf2d79","12000","dao"
"0x3c82c2c44effb1a9a919eda693ea24fe666513cf","12000","dao"
"0x3cec2a3c4635c46848285f7d72697b9533e8954c","12000","dao"
"0x3d0d364a3c7eecbea4a26ba4b18de44385e2b941","24000","dao"
"0x3dc1149669c312b3f9a84205e21b408aaf56900d","12000","dao"
"0x3dd3f2734624004794910c8f2f0067ae0c9f8949","12000","dao"
"0x3e03819123cc6e06de9692c2bd71da5afd777777","12000","dao"
"0x3e8fbe712ab686db805d4c332af8dc8dc3fd0f5a","12000","dao"
"0x3f11b1e0a27b5e593803bb7384022363c4c2ef09","12000","dao"
"0x3f352cf93d6a4e1571ed3326736eece49deae17c","12000","dao"
"0x3ffe82556d6665800628d4edb098f2bdd5a3cd7a","12000","dao"
"0x4095f2b8dc6a18ce295699b0ab6ca16980881e48","12000","dao"
"0x4110cafd29c8535c7a39862c8d4eee72277bf1ef","12000","dao"
"0x41cb7d39b1100b320e8cfe27db9b526c671e7a07","12000","dao"
"0x41f0bdbed2122402d6d61815d558bc7b01000000","12000","dao"
"0x41fd941bb20990b5bec8cb424f19397254707981","12000","dao"
"0x43ab8c56baaf9b6fb839b9056667d60b8254e25f","12000","dao"
"0x43c845c2ef3cdaef5e0ba40cac7437384bce4a3d","12000","dao"
"0x447dc392472e6319aa14264a2af2cb6ab6ca42ee","12000","dao"
"0x44baedb971993865de3840f6b72e169aa195de64","12000","dao"
"0x4587dffe5cfcda26929614de491e32f1f20e6e6f","12000","dao"
